danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artists
0.798,0.696,2,-6.03,0,0.0553,0.0477,7.46e-06,0.136,0.55,123.961,audio_features,0jlPjXQqh04pVFxNrapdMB,spotify:track:0jlPjXQqh04pVFxNrapdMB,https://api.spotify.com/v1/tracks/0jlPjXQqh04pVFxNrapdMB,https://api.spotify.com/v1/audio-analysis/0jlPjXQqh04pVFxNrapdMB,160489,4,Guilty Pleasure,Freyer
0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,audio_features,20on25jryn53hWghthWWW3,spotify:track:20on25jryn53hWghthWWW3,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3,https://api.spotify.com/v1/audio-analysis/20on25jryn53hWghthWWW3,157890,4,Do It To It,ACRAZE
0.821,0.278,1,-6.94,1,0.0588,0.322,0.0,0.305,0.501,139.981,audio_features,6jKKLxvZDT6kEVPkIIPTj5,spotify:track:6jKKLxvZDT6kEVPkIIPTj5,https://api.spotify.com/v1/tracks/6jKKLxvZDT6kEVPkIIPTj5,https://api.spotify.com/v1/audio-analysis/6jKKLxvZDT6kEVPkIIPTj5,134571,4,Lose Somebody,Filip Nordin
0.603,0.473,5,-7.23,1,0.0511,0.616,0.0,0.31,0.446,109.494,audio_features,5S9Zs5g9lTWnLIboN1pdlU,spotify:track:5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/tracks/5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/audio-analysis/5S9Zs5g9lTWnLIboN1pdlU,175345,4,Fingers Crossed,Lauren Spencer-Smith
0.643,0.317,9,-7.143,0,0.056,0.911,0.0,0.124,0.416,91.828,audio_features,3ji4ltNXoD7rQ8rTOxbNg1,spotify:track:3ji4ltNXoD7rQ8rTOxbNg1,https://api.spotify.com/v1/tracks/3ji4ltNXoD7rQ8rTOxbNg1,https://api.spotify.com/v1/audio-analysis/3ji4ltNXoD7rQ8rTOxbNg1,174783,4,Dance Monkey,Eric Lumiere
0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747,4,Bad Habits,Ed Sheeran
0.727,0.809,8,-6.558,1,0.0424,0.169,0.0201,0.127,0.393,119.975,audio_features,3XNBYefTCQzIWO1J38Mlzs,spotify:track:3XNBYefTCQzIWO1J38Mlzs,https://api.spotify.com/v1/tracks/3XNBYefTCQzIWO1J38Mlzs,https://api.spotify.com/v1/audio-analysis/3XNBYefTCQzIWO1J38Mlzs,176664,4,Somebody To Love,Seum Dero
0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4,Woman,Doja Cat
0.63,0.389,10,-7.32,0,0.0307,0.883,0.0,0.0661,0.375,81.946,audio_features,3OLYJo3JCaZEPkwSKFuccd,spotify:track:3OLYJo3JCaZEPkwSKFuccd,https://api.spotify.com/v1/tracks/3OLYJo3JCaZEPkwSKFuccd,https://api.spotify.com/v1/audio-analysis/3OLYJo3JCaZEPkwSKFuccd,156585,4,Way Down We Go - Acoustic Mix,Vendredi
0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,audio_features,46HNZY1i7O6jwTA7Slo2PI,spotify:track:46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/tracks/46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/audio-analysis/46HNZY1i7O6jwTA7Slo2PI,226198,4,My Universe,Coldplay
